Timestamp,Intensity (kPa),Hooray Cycle #
07:53.9,6.71,0
07:54.0,6.71,0
07:54.1,6.71,0
07:54.2,6.71,0
07:54.3,6.76,0
07:54.4,6.71,0
07:54.5,6.71,0
07:54.6,6.71,0
07:54.7,6.71,0
07:54.8,6.66,0
07:54.9,6.71,0
07:55.0,6.71,0
07:55.1,6.71,0
07:55.2,6.71,0
07:55.3,6.71,0
07:55.4,6.71,0
07:55.5,6.71,0
07:55.6,6.66,0
07:55.7,6.71,0
07:55.8,6.71,0
07:55.9,6.71,0
07:56.0,6.76,0
07:56.1,6.76,0
07:56.2,6.71,0
07:56.3,6.71,0
07:56.4,6.71,0
07:56.5,6.71,0
07:56.6,6.71,0
07:56.7,6.76,0
07:56.8,6.71,0
07:56.9,6.71,0
07:57.0,6.66,0
07:57.1,6.71,0
07:57.2,6.71,0
07:57.3,6.71,0
07:57.4,6.71,0
07:57.5,6.71,0
07:57.6,6.71,0
07:57.7,6.71,0
07:57.8,6.66,0
07:57.9,6.71,0
07:58.0,6.71,0
07:58.1,6.71,0
07:58.2,6.71,0
07:58.3,6.71,0
07:58.4,6.76,0
07:58.5,6.76,0
07:58.6,6.66,0
07:58.7,6.71,0
07:58.8,6.71,0
08:02.0,6.76,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.76,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.66,0
08:02.0,6.76,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.0,6.71,0
08:02.1,6.71,0
08:02.2,6.71,0
08:02.3,6.76,0
08:02.4,6.71,0
08:02.5,6.71,0
08:02.6,6.71,0
08:02.7,6.71,0
08:02.8,6.66,0
08:02.9,6.71,0
08:03.0,6.71,0
08:03.1,6.71,0
08:03.2,6.71,0
08:03.3,6.76,0
08:03.4,6.71,0
08:03.5,6.71,0
08:03.6,6.76,0
08:03.7,6.71,0
08:03.8,6.71,0
08:03.9,6.71,0
08:04.0,6.71,0
08:04.1,6.76,0
08:04.2,6.71,0
08:04.3,6.66,0
08:04.4,6.76,0
08:04.5,6.71,0
08:04.6,6.76,0
08:04.7,6.71,0
08:04.8,6.76,0
08:04.9,6.71,0
08:05.0,6.71,0
08:05.1,6.71,0
08:05.2,6.71,0
08:05.3,6.71,0
08:05.4,6.66,0
08:05.5,6.71,0
08:05.6,6.71,0
08:05.7,6.71,0
08:05.8,6.71,0
08:05.9,6.71,0
08:06.0,6.71,0
08:06.1,6.71,0
08:06.2,6.71,0
08:06.3,6.71,0
08:06.4,6.71,0
08:06.5,6.71,0
08:06.6,6.71,0
08:06.7,6.71,0
08:06.8,6.76,0
08:06.9,6.71,0
08:07.0,6.76,0
08:07.1,6.71,0
08:07.2,6.71,0
08:07.3,6.71,0
08:07.4,6.71,0
08:07.5,6.71,0
08:07.6,6.71,0
08:07.7,6.76,0
08:07.8,6.71,0
08:07.9,6.71,0
08:08.0,6.71,0
08:08.1,6.71,0
08:08.2,6.71,0
08:08.3,6.71,0
08:08.4,6.71,0
08:08.5,6.71,0
08:08.6,6.71,0
08:08.7,6.71,0
08:08.8,6.66,0
08:08.9,6.71,0
08:09.0,6.71,0
08:09.1,6.71,0
08:09.2,6.71,0
08:09.3,6.71,0
08:09.4,6.71,0
08:09.5,6.71,0
08:09.6,6.71,0
08:09.7,6.71,0
08:09.8,6.71,0
08:09.9,6.71,0
08:10.0,6.66,0
08:10.1,6.71,0
08:10.2,6.71,0
08:10.3,6.71,0
08:10.4,6.71,0
08:10.5,6.71,0
08:10.6,6.71,0
08:10.7,6.71,0
08:10.8,6.71,0
08:10.9,6.71,0
08:11.0,6.71,0
08:11.1,6.71,0
08:11.2,6.71,0
08:11.3,6.66,0
08:11.4,6.71,0
08:11.5,6.71,0
08:11.6,6.71,0
08:11.7,6.71,0
08:11.8,6.76,0
08:11.9,6.66,0
08:12.0,6.71,0
08:12.1,6.66,0
08:12.2,6.71,0
08:12.3,6.71,0
08:12.4,6.71,0
08:12.5,6.71,0
08:12.6,6.66,0
08:12.7,6.71,0
08:12.8,6.71,0
08:12.9,6.66,0
08:13.0,6.66,0
08:13.1,6.66,0
08:13.2,6.71,0
08:13.3,6.71,0
08:13.4,6.66,0
08:13.5,6.71,0
08:13.6,6.71,0
08:13.7,6.71,0
08:13.8,6.71,0
08:13.9,6.71,0
08:14.0,6.71,0
08:14.1,6.71,0
08:14.2,6.71,0
08:14.3,6.71,0
08:14.4,6.71,0
08:14.5,6.66,0
08:14.6,6.66,0
08:14.7,6.71,0
08:14.8,6.71,0
08:14.9,6.71,0
08:15.0,6.71,0
08:15.1,6.71,0
08:15.2,6.71,0
08:15.3,6.71,0
08:15.4,6.71,0
08:15.5,6.71,0
08:15.6,6.71,0
08:15.7,6.71,0
08:15.8,6.71,0
08:15.9,6.71,0
08:16.0,6.71,0
08:16.1,6.71,0
08:16.2,6.66,0
08:16.3,6.71,0
08:16.4,6.71,0
08:16.5,6.76,0
08:16.6,6.71,0
08:16.7,6.66,0
08:16.8,6.71,0
08:16.9,6.71,0
08:17.0,6.71,0
08:17.1,6.71,0
08:17.2,6.71,0
08:17.3,6.66,0
08:17.4,6.71,0
08:17.5,6.76,0
08:17.6,6.71,0
08:17.7,6.66,0
08:17.8,6.71,0
08:17.9,6.71,0
08:18.0,6.66,0
08:18.1,6.71,0
08:18.2,6.71,0
08:18.3,6.71,0
08:18.4,6.71,0
08:18.5,6.71,0
08:18.6,6.71,0
08:18.7,6.66,0
08:18.8,6.71,0
08:18.9,6.71,0
08:19.0,6.71,0
08:19.1,6.71,0
08:19.2,6.71,0
08:19.3,6.71,0
08:19.4,6.71,0
08:19.5,6.71,0
08:19.6,6.71,0
08:19.7,6.71,0
08:19.8,6.71,0
08:19.9,6.71,0
08:20.0,6.71,0
08:20.1,6.76,0
08:20.2,6.71,0
08:20.3,6.71,0
08:20.4,6.71,0
08:20.5,6.66,0
08:20.6,6.71,0
08:20.7,6.71,0
08:20.8,6.71,0
08:20.9,6.71,0
08:21.0,6.66,0
08:21.1,6.76,0
08:21.2,6.71,0
08:21.3,6.71,0
08:21.4,6.66,0
08:21.5,6.71,0
08:21.6,6.66,0
08:21.7,6.66,0
08:21.8,6.71,0
08:21.9,6.66,0
08:22.0,6.71,0
08:22.1,6.71,0
08:22.2,6.71,0
08:22.3,6.71,0
08:22.4,6.71,0
08:22.5,6.71,0
08:22.6,6.71,0
08:22.7,6.71,0
08:22.8,6.71,0
