Timestamp,Pressure (kPa),Hooray Cycle #
2025-01-13 08:02:49.226825,9.33,0
2025-01-13 08:03:52.518076,5.45,0
2025-01-13 08:03:52.934838,10.26,0
2025-01-13 08:03:53.063647,0.01,1
2025-01-13 08:03:53.169437,12.63,1
2025-01-13 08:03:53.275324,7.82,2
2025-01-13 08:03:53.381377,9.7,2
2025-01-13 08:03:53.487815,10.22,2
2025-01-13 08:03:53.598811,14.78,3
2025-01-13 08:03:53.702749,8.14,4
2025-01-13 08:03:53.804733,3.66,4
2025-01-13 08:03:53.910352,14.96,4
2025-01-13 08:03:54.014304,14.24,5
2025-01-13 08:03:54.121594,5.07,6
2025-01-13 08:03:54.222736,6.51,6
2025-01-13 08:03:54.329082,7.29,6
2025-01-13 08:03:54.431186,3.79,6
2025-01-13 08:03:54.533901,1.63,6
2025-01-13 08:03:54.638558,14.72,6
2025-01-13 08:03:54.744874,2.85,7
2025-01-13 08:03:54.847954,2.12,7
2025-01-13 08:03:54.953650,9.06,7
2025-01-13 08:03:55.059004,14.3,7
2025-01-13 08:03:55.164967,12.03,8
2025-01-13 08:03:55.273631,13.99,9
2025-01-13 08:03:55.386986,2.91,10
2025-01-13 08:03:55.491202,12.68,10
2025-01-13 08:03:55.606548,1.85,11
2025-01-13 08:03:55.712957,10.3,11
2025-01-13 08:03:55.816156,8.19,12
2025-01-13 08:03:55.921724,1.62,12
2025-01-13 08:03:56.027514,14.74,12
2025-01-13 08:03:56.133221,2.39,13
2025-01-13 08:03:56.271076,14.39,13
2025-01-13 08:03:56.410763,13.72,14
2025-01-13 08:03:56.516680,7.31,15
2025-01-13 08:03:56.621435,11.9,15
2025-01-13 08:03:56.722989,5.38,16
2025-01-13 08:03:56.828552,7.47,16
2025-01-13 08:03:56.929508,7.38,16
2025-01-13 08:03:57.035214,4.95,16
2025-01-13 08:03:57.140966,1.05,16
2025-01-13 08:03:57.242018,14.7,16
2025-01-13 08:03:57.347828,8.54,17
2025-01-13 08:03:57.453375,0.53,17
2025-01-13 08:03:57.555171,6.63,17
2025-01-13 08:03:57.658620,6.4,17
2025-01-13 08:03:57.764573,5.31,17
2025-01-13 08:03:57.866112,10.57,17
2025-01-13 08:03:57.967803,6.12,18
2025-01-13 08:03:58.070876,13.04,18
2025-01-13 08:03:58.174636,1.4,19
2025-01-13 08:03:58.280327,0.67,19
2025-01-13 08:03:58.385893,5.66,19
2025-01-13 08:03:58.498540,4.27,19
2025-01-13 08:03:58.604220,1.26,19
2025-01-13 08:03:58.708627,9.63,19
2025-01-13 08:03:58.814701,3.56,19
2025-01-13 08:03:58.920928,0.28,19
2025-01-13 08:03:59.022769,12.44,19
2025-01-13 08:03:59.128080,10.55,20
2025-01-13 08:03:59.243345,0.54,21
2025-01-13 08:03:59.346914,10.66,21
2025-01-13 08:03:59.450992,4.17,22
